views,likes,media,comments,url,caption,post_datetime
na,166,image,7,https://www.instagram.com/p/BRF6CDpDBR_/?taken-by=alcatelmobile,"Create anywhere. Plus12 is #YourOfficeOnTheMove. #Alcatelenjoynow #MWC2017 
#Barcelona #creativeminds #creative #creativepreneur #creativelife #create #creativity #styleoftheday #styleinspiration #trendy #styleinspiration",2017-03-01T10:33:14.000Z
na,227,image,14,https://www.instagram.com/p/BRIihqBDcHV/?taken-by=alcatelmobile,"Bring your creativity to go with Plus 12.  #MWC2017 #Alcatelenjoynow #YourOfficeOnTheMove

#Barcelona #creativeminds #creative #creativepreneur #creativelife #create #creativity #styleoftheday #styleinspiration #trendy #styleinspiration",2017-03-02T11:05:34.000Z
na,207,image,3,https://www.instagram.com/p/BSfmLCHDSfm/?taken-by=alcatelmobile,"Are you ready to light it up? Discover the new A5 LED, the world's first interactive #LED covered phone. #Alcatelenjoynow

#lightup #light #color #colors #smartphone #android #Barcelona #maremagnum #lights #lightart #inspiration",2017-04-05T06:31:21.000Z
na,345,image,20,https://www.instagram.com/p/BS0YZkZD-Xi/?taken-by=alcatelmobile,"Shine brighter with the new A5 LED. #Alcatelenjoynow

#lightup #light #color #colors #smartphone #android #Barcelona #maremagnum #lights #lightart #inspiration",2017-04-13T08:15:03.000Z
na,254,image,8,https://www.instagram.com/p/BTnf4xWjLwJ/?taken-by=alcatelmobile,"Work outside the box, with Plus 12. #YourOfficeOnTheMove #Alcatelenjoynow

#Barcelona #creativeminds #creative #creativepreneur #creativelife #create #creativity #styleoftheday #styleinspiration #trendy #styleinspiration",2017-05-03T04:41:45.000Z
na,186,image,7,https://www.instagram.com/p/BUGx7T6DT8W/?taken-by=alcatelmobile,"Who says your phone’s display should get all the fun? Get 360° of excitement with A5 and the LED rear cover.

#Alcatelenjoynow #colors #light #android #smartphone",2017-05-15T08:15:50.000Z
na,172,image,3,https://www.instagram.com/p/BUIuaFxjLnB/?taken-by=alcatelmobile,"Action shots, selfies, landscapes and more. No matter how you record your world, capture it all in stunning HD with the feature packed A5.

#Alcatelenjoynow #colors #light #smartphone #Android",2017-05-16T02:23:34.000Z
na,200,image,8,https://www.instagram.com/p/BNEO_AZB0YY/?taken-by=alcatelmobile,"As an architect, taking 3D #photos with the #IDOL4S makes it easy for Raul to capture every angle of his inspiration… as well as his #cat.",2016-11-21T08:52:16.000Z
na,137,image,2,https://www.instagram.com/p/BN57QkGBJNS/?taken-by=alcatelmobile,Indulge your inner #audiophile with incredible #sound. Powerful front and rear directional stereo speakers ensure that #IDOL4S is fit to satisfy your cravings for quality. What are you listening to now?,2016-12-12T05:18:53.000Z
na,98,image,4,https://www.instagram.com/p/BOO6EGshFTt/?taken-by=alcatelmobile,What good is a #workout without the perfect tunes? Get your #fitness on right with incredible sound thanks to advanced audio enhancement technology from Arkamys. What’s your favorite workout #song? #IDOL4S #IDOL4,2016-12-20T08:52:30.000Z
