views,likes,media,comments,url,caption,post_datetime
30846,3397,video,61,https://www.instagram.com/p/Bcay9HlF3c_/?taken-by=hp,What are you baking up for the holidays 🍪? Join @loriloughlin and @oliviajade and make holiday fun with the HP Sprocket portable printer! 😋,2017-12-07T23:01:03.000Z
na,3534,image,24,https://www.instagram.com/p/BcqaAlilqER/?taken-by=hp,Up your creativity with a responsive touchscreen. / HP Spectre Laptop #ReinventGiving,2017-12-14T00:30:39.000Z
21445,2367,video,9,https://www.instagram.com/p/Bcs0YAdlEww/?taken-by=hp,Take your kids to the moon 🌙 and back 🚀 with fun activities using our HP Smart App and ENVY Photo printer. #ReinventMemories,2017-12-14T23:00:16.000Z
52129,4263,video,85,https://www.instagram.com/p/BcvZw0IlfC2/?taken-by=hp,"@shuapeck wants you to check out the newest member of the HP Sprocket family, the Sprocket Plus!",2017-12-15T23:05:06.000Z
na,5664,image,62,https://www.instagram.com/p/Bc3HuI5F4xk/?taken-by=hp,There’s no better gift 🎁 for your loved ones than an HP Sprocket 2-in-1. Capture and print 2x3” snapshots instantly! ❤️,2017-12-18T23:00:59.000Z
19441,2244,video,20,https://www.instagram.com/p/Bc5sLsnljCS/?taken-by=hp,"This holiday season, treat your family to something beautifully personalized with the help of our HP ENVY Photo printer. #ReinventMemories",2017-12-19T23:00:09.000Z
36230,3591,video,83,https://www.instagram.com/p/Bc8DOWGFSER/?taken-by=hp,@meredithfoster creates special holiday moments with Piper 🐶 using her HP Sprocket. 🐾 🎁,2017-12-20T21:00:10.000Z
26612,2597,video,61,https://www.instagram.com/p/Ba4MzvdAFNB/?taken-by=hp,"Bigger than a 🕷️ but smaller than a 🦇, the pocket-size HP Sprocket can catch every great #Halloween moment with custom, instant prints.",2017-10-30T16:02:04.000Z
na,7140,image,82,https://www.instagram.com/p/Ba9_YpVnZ23/?taken-by=hp,Reimagine what a laptop can deliver with liberating battery life and cutting edge performance. / HP Spectre x360,2017-11-01T22:00:02.000Z
14212,2204,video,19,https://www.instagram.com/p/BbKUx-UFnUi/?taken-by=hp,Create more wonder in your world with the HP Spectre x360. #ReinventGiving,2017-11-06T17:00:08.000Z
63888,4933,video,145,https://www.instagram.com/p/BbNOMIUlaul/?taken-by=hp,We can always count on Mom! Give an HP Sprocket this holiday season and go for the big hug. 🤗,2017-11-07T20:00:05.000Z
70991,5607,video,82,https://www.instagram.com/p/BbSsw4kFiu_/?taken-by=hp,"Color your world with the HP Sprocket printer and the brilliant, colorful stories it will tell!",2017-11-09T23:01:24.000Z
19631,4011,video,28,https://www.instagram.com/p/BbUoYU3F1ZA/?taken-by=hp,Excited for our next big mission with @nasa 🚀,2017-11-10T17:01:41.000Z
na,9398,image,381,https://www.instagram.com/p/Bbfkz40FBwH/?taken-by=hp,Give an HP Sprocket this holiday season and turn favorite moments into memories!,2017-11-14T23:02:00.000Z
na,3218,image,17,https://www.instagram.com/p/BbkufbZloTU/?taken-by=hp,Transform your visions to reality with 3D Inking. / HP Spectre x360 #ReinventGiving,2017-11-16T23:02:47.000Z
