views,likes,media,comments,url,caption,post_datetime
258,38,video,1,https://www.instagram.com/p/BeDR1x4Hiwb/?taken-by=panasonic_india,"Still wondering how we make your clothes foamtastic? Here it is.
#ItsFoamtastic",2018-01-17T12:53:20.000Z
155,23,video,0,https://www.instagram.com/p/BeIbMt3HL7S/?taken-by=panasonic_india,Statutory Warning: This video is intended to make you look cool. Watch it at your own risk,2018-01-19T12:52:40.000Z
na,26,image,0,https://www.instagram.com/p/BeLAS7zn_v6/?taken-by=panasonic_india,"Planning for a picnic? This Panasonic Jar Cooker is all you need.
https://goo.gl/94vezz",2018-01-20T12:52:18.000Z
na,37,image,0,https://www.instagram.com/p/BeNubmYHmlD/?taken-by=panasonic_india,Music is the sound of your feeling. Hear it with Panasonic Headphones https://goo.gl/krioLc,2018-01-21T14:13:55.000Z
125,24,video,0,https://www.instagram.com/p/BeSp3HMnW9P/?taken-by=panasonic_india,It’s time to go beyond. It’s time to experience entertainment like never before. Click to get the greatest ever experience: https://goo.gl/iPKoGc,2018-01-23T12:16:16.000Z
114,15,video,0,https://www.instagram.com/p/BeVPLmMnStp/?taken-by=panasonic_india,"All the gentlemen out there, it’s time to look classy.",2018-01-24T12:20:14.000Z
105,24,video,1,https://www.instagram.com/p/BeZf1ZlHEVb/?taken-by=panasonic_india,"Today, we promise to make your lives simple and better. Happy #RepublicDay! #BetterLifeBetterWorld",2018-01-26T03:57:27.000Z
na,24,image,0,https://www.instagram.com/p/BdHpRmBHnI_/?taken-by=panasonic_india,"Panasonic Oven Toaster Grill - To warm your taste-buds in winters.
https://goo.gl/2sQ1AN",2017-12-25T09:02:01.000Z
110,26,video,1,https://www.instagram.com/p/BdHpUcWHnUZ/?taken-by=panasonic_india,Experience the beauties of the world with Panasonic Shinobi Ultra 4k.,2017-12-25T09:03:01.000Z
141,26,video,0,https://www.instagram.com/p/BdKoWdTHgtM/?taken-by=panasonic_india,"Don’t just watch superheroes save the world, be a part of their mission with
Panasonic Shinobi ultra 4K",2017-12-26T12:51:50.000Z
82,16,video,0,https://www.instagram.com/p/BdNOIukHWrB/?taken-by=panasonic_india,Weekday straights or weekend curls? Ummmmm...In case you want both: https://goo.gl/uYrsM7,2017-12-27T13:00:39.000Z
93,18,video,0,https://www.instagram.com/p/BdSXkcenE1p/?taken-by=panasonic_india,Clarity in every beat. Click to hear :  https://goo.gl/iB7Jmq .,2017-12-29T12:59:37.000Z
95,16,video,0,https://www.instagram.com/p/BdU6jGqnlSc/?taken-by=panasonic_india,"Live a dust-free life with Panasonic Vacuum Cleaners.
https://goo.gl/B5WUQW",2017-12-30T12:43:15.000Z
88,14,video,0,https://www.instagram.com/p/BdXoCURHnl3/?taken-by=panasonic_india,What’s that one song that keeps you going?  https://goo.gl/pC4n1H.,2017-12-31T14:00:41.000Z
na,35,image,1,https://www.instagram.com/p/BdZQjZyHy96/?taken-by=panasonic_india,"Happy New Year 2018! Our resolution is to make your lives
better, everyday. What is your new year ’s resolution?",2018-01-01T05:12:20.000Z
96,9,video,0,https://www.instagram.com/p/Bdcth8Hn5K2/?taken-by=panasonic_india,"Circle heard or French beard ? Whatever you call it, here's how to style one.",2018-01-02T14:10:59.000Z
na,39,image,2,https://www.instagram.com/p/BdfPoemnP_k/?taken-by=panasonic_india,"With Advanced washing with INVERTER control and ECONAVI technology, Panasonic Washing Machines help you save water, energy and time. #ItsFoamtastic
https://goo.gl/9XUnDc",2018-01-03T12:59:44.000Z
91,12,video,0,https://www.instagram.com/p/Bdki7UUHqWE/?taken-by=panasonic_india,Goatee is never out of fashion. Tag a friend with a goatee.Know more: http://bit.ly/2CvqJwi,2018-01-05T14:38:31.000Z
105,10,video,0,https://www.instagram.com/p/BduraZyncj3/?taken-by=panasonic_india,"However your beard is, this Panasonic shaver can style it to perfection.",2018-01-09T12:53:10.000Z
na,31,image,0,https://www.instagram.com/p/BcC7UQYncFW/?taken-by=panasonic_india,"Why order, when you can cook delicious chicken dishes in minutes. Click for the recipe: https://goo.gl/CShhBK. #foodwise",2017-11-28T16:32:05.000Z
na,42,image,1,https://www.instagram.com/p/BcUk5d3H8bR/?taken-by=panasonic_india,"Experience the mountains at home with Panasonic #ShinobiUltra 4K. 
#BetterLifeBetterWorld",2017-12-05T13:02:31.000Z
na,26,image,0,https://www.instagram.com/p/BcXwlLmn-sf/?taken-by=panasonic_india,The strong suction of Panasonic vacuum cleaners will never let dust settle in your home. Click on https://goo.gl/KE98hD to know more. #BetterLifeBetterWorld,2017-12-06T18:42:19.000Z
70,16,video,0,https://www.instagram.com/p/BccPFR9HEcM/?taken-by=panasonic_india,Presenting Panasonic Grooming kits – to make the best first impression. #BetterLifeBetterWorld,2017-12-08T12:26:05.000Z
169,25,video,0,https://www.instagram.com/p/Bce0DEMnLgj/?taken-by=panasonic_india,"Experience every scene at its best with Panasonic Shinobi Ultra 4K. For more information, visit http://bit.ly/2jawrik .
#betterlifebetterworld",2017-12-09T12:27:44.000Z
126,23,video,0,https://www.instagram.com/p/BchTNBenV9A/?taken-by=panasonic_india,"Explore the unlimited possibilities of cooking with Panasonic cooking appliances. 
Click to know more: https://goo.gl/qivGgh
Video source: https://www.youtube.com/watch?v=JH67iYIP9II",2017-12-10T11:38:12.000Z
