views,likes,media,comments,url,caption
na,57.8k,image,268,https://www.instagram.com/p/Be9ImAWHVDT/?taken-by=google,"Cool is an understatement. #teampixel photographer @daveast captured Iceland’s sometimes blue, always beautiful terrain on a recent trip–see more in our story today."
na,30.7k,image,269,https://www.instagram.com/p/Be_pE2KH9d7/?taken-by=google,"Even more lovable than ramen, meet Noodles. This special #Doogler belongs to Googler Nat (of Nat & Friends), who goes behind the scenes to explore all of the awesome things we work on at Google, from AI to virtual reality to #StreetView. Take a walk with Noodles to our story today for a new episode guest starring some adoptable furry friends and 5 Google photography apps. 🐾"
na,84.8k,image,287,https://www.instagram.com/p/BfG00ldHNMK/?taken-by=google,"It's time for Carnival, and this #MySuperG is ready to party! 🎉"
na,48.2k,image,293,https://www.instagram.com/p/BfHIPLwHfGy/?taken-by=google,"As a child in Ethiopia, Asmelash Zerefu dreamed of flying a plane. But when his plans to become a pilot didn't work out, he taught himself to build his own airplane from scratch by watching YouTube videos. Learn more about his incredible journey in our story today. #SearchOn"
na,33.9k,image,158,https://www.instagram.com/p/BfMVEWrnBGj/?taken-by=google,"Love is in the air, and it found its way to #teampixel. Already enamored with Pixel's camera, #teampixel (and professional) photographer couple @_gingersnapphotography and @haylescolin wanted to see how their new Pixel 2’s would fare in the most picture-worthy setting: a wedding. Say “I do” to more photos from the romantic shoot in our story today. ❤️"
na,24.5k,image,143,https://www.instagram.com/p/BfPE-ITn_rK/?taken-by=google,"For #BlackHistoryMonth we asked some special guests to reflect on icons and moments in Black History. This week, actress and activist @yarashahidi pays homage to the Black women who empower her. See our story today for more from Yara and her video with @googleartsculture."
138k,na,video,170,https://www.instagram.com/p/Bd0bEp2nVIJ/?taken-by=google,The key to this tiny town? #HeyGoogle. Take a #CES2018 staycation in our mini-city to explore some of the over 1 million Actions you can take with your #GoogleAssistant.
na,105k,image,346,https://www.instagram.com/p/Bd1E2SFnC6K/?taken-by=google,"A sunset on a rainy day never looked so good. #teampixel photographer @ustincameron says, “Puddles are a great way to create (hopefully) never-before-seen compositions.” As a pro at Pixel low-light photography, Austin has a few tips for capturing great shots: “Set the focus on dark areas with details you want to bring out, do your best to prevent light pollution from entering your frame and don’t be scared to stack multiple pics together to create the perfect composition.” See more of his photos in our story today."
na,58k,image,318,https://www.instagram.com/p/Bd3rHzKHyPf/?taken-by=google,"#HeyGoogle, play my “that’s a wrap” playlist. Dancing our way out of The Google Assistant Playground—thanks for the fun, #CES2018! 📷: #teampixel"
na,68.6k,image,356,https://www.instagram.com/p/Bd-rq1nHpRV/?taken-by=google,"#MySuperG, take note. 📓: @notedinstyle"
na,32.1k,image,164,https://www.instagram.com/p/BeEHGcOHd2l/?taken-by=google,"From colors to acoustics, there’s a design story behind how every product in the @madebygoogle family looks, feels and acts when you hold it in your hand. See our story for more behind-the-scenes photos of our radically helpful—and thoughtfully designed—hardware."
na,112k,image,426,https://www.instagram.com/p/BeG8d88nDHM/?taken-by=google,"A magical, foggy moment captured in New York by #teampixel photographer @romanshotthis."
na,49k,image,289,https://www.instagram.com/p/BeJpX8mnBaW/?taken-by=google,"An udderly awesome use of TensorFlow: meet Connecterra, a startup using our open source machine learning system and AI to help dairy farmers keep their cows healthy and farms efficient. For more on this use of moo-chine learning, head to our story."
na,58.7k,image,358,https://www.instagram.com/p/BeQ0rvyHEfM/?taken-by=google,"We don’t mean to sound cheesy, but we’re so fondue of this #MySuperG by Milwaukee-based small business @thewisconsincheesemart. 🧀"
na,50.5k,image,312,https://www.instagram.com/p/BeTYnlSHrkY/?taken-by=google,"Hailing from our New York City office, it’s Chase the #Doogler! This sophisticated, sweater-wearing pup (unsurprisingly) thinks he is a human, and can also stick his tongue out on command."
na,37.1k,image,212,https://www.instagram.com/p/BeY0poVgqhk/?taken-by=google,Glowing shades of orange make for a striking silhouette in this shot by #teampixel photographer @_insearchofexpression.
na,56.9k,image,262,https://www.instagram.com/p/BeixYnxHzvd/?taken-by=google,@fragilefreaks thought out of the box with this creative #MySuperG made from cardboard.
