views,likes,media,comments,url,caption,post_datetime
1208,331,video,5,https://www.instagram.com/p/BdGTlW3FX_D/?taken-by=acer,"From Taipei to Berlin to New York City, we wish our followers and customers all around the world a #HappyHoliday.",2017-12-24T20:33:37.000Z
na,721,image,6,https://www.instagram.com/p/BdRAm03Faj7/?taken-by=acer,As light as your favorite furry friend. The new #Swift5 #Lightweight,2017-12-29T00:19:04.000Z
na,683,image,8,https://www.instagram.com/p/BdWF9zbl-r2/?taken-by=acer,"Work, play and everything in between. #Aspire7",2017-12-30T23:42:06.000Z
1192,373,video,11,https://www.instagram.com/p/BdX4KXDlbsN/?taken-by=acer,"2018, let’s do this thing. Wishing you all a #HappyNewYear!",2017-12-31T16:21:29.000Z
na,1309,image,10,https://www.instagram.com/p/BdjotdDFp8-/?taken-by=acer,What’s in store for 2018? Stay tuned for big reveals at #CES2018. #NextAtAcer,2018-01-05T05:55:49.000Z
4585,696,video,8,https://www.instagram.com/p/BdsnSNzlGkN/?taken-by=acer,"Happy #AMD Tech Day! We’re celebrating the release of the new #Nitro5, with AMD Radeon™ RX560 graphics and the latest AMD Ryzen™ mobile processors. Not to mention the top cover with laser texturing for a boldly refined look. #InstaTech",2018-01-08T17:36:57.000Z
na,530,image,2,https://www.instagram.com/p/Bds02ZYFZ2B/?taken-by=acer,"This just in from #CES2018: @Amazon Alexa is coming to select Acer PCs! Control music playback and smart home devices, hear the news, and more. #NextAtAcer #AmazonAlexa",2018-01-08T19:35:04.000Z
na,2405,image,37,https://www.instagram.com/p/Bd0TyK0FGJQ/?taken-by=acer,"Meet the new, lightening-fast #Nitro5. Packed with @AMD Radeon™ RX560 graphics, your favorite gaming laptop just got an upgrade #CES2018 #NextAtAcer",2018-01-11T17:20:03.000Z
na,1238,image,11,https://www.instagram.com/p/Bd_Ma26FJcJ/?taken-by=acer,"Say hello to more new devices from #CES2018: the #Swift7, #Switch7 Black Edition, #Spin3 and #Chromebook11. #NextAtAcer",2018-01-15T22:47:21.000Z
1832,439,video,6,https://www.instagram.com/p/Bd_WlLZF72r/?taken-by=acer,"No matter who you are or where you start, you have unlimited potential. How will you make your mark? Click the link in our profile to learn more. #MakeYourMark",2018-01-16T00:17:03.000Z
1970,505,video,9,https://www.instagram.com/p/BeH4KmCFh5O/?taken-by=acer,"Who says you can’t get the “cinema experience” without leaving the house? Bring home the big screen and enjoy the bright, clear, lifelike visuals of the #AcerProjector.",2018-01-19T07:43:53.000Z
6264,950,video,13,https://www.instagram.com/p/BeKQBZaF34I/?taken-by=acer,"The modern professional needs a notebook that can keep up with busy days at the office, working on the go, and serious downtime at home. So we made one: the #Switch7BlackEdition, the world’s first fanless 2-in-1 with discrete graphics. #Stylish #BusinessCasual",2018-01-20T05:50:41.000Z
1976,329,video,7,https://www.instagram.com/p/BbfyvohFzTr/?taken-by=acer,Get 6 Degrees of Freedom and fully explore new worlds with #WindowsMR—no external sensor installation needed.,2017-11-15T01:03:45.000Z
na,1508,image,23,https://www.instagram.com/p/BbpxAwmFFiH/?taken-by=acer,"A backlit keyboard makes the #Nitro5Spin perfect for night gaming, but beware of the audio. With 2 front-facing speakers, a subwoofer, and Dolby Audio, you might wake the neighbors!",2017-11-18T22:01:01.000Z
1643,298,video,4,https://www.instagram.com/p/Bb5RTirFaz8/?taken-by=acer,"With four speakers and a DTS-HD® powered woofer, experience sound so crystal clear you can see through it. #IconaTab10",2017-11-24T22:32:01.000Z
na,938,image,18,https://www.instagram.com/p/BcJe1neFRVj/?taken-by=acer,"Don’t let your laptop weigh you down. Lighten up with the super thin, #Lightweight #Swift5.",2017-12-01T05:37:55.000Z
na,639,image,10,https://www.instagram.com/p/BcQZsyglElz/?taken-by=acer,"Great ideas can happen anywhere. #ExploreMore and capture them with the world’s thinnest laptop, the #Swift7.",2017-12-03T22:07:42.000Z
1338,245,video,5,https://www.instagram.com/p/BcYEALZl0rp/?taken-by=acer,"Find your virtual happy place. And hey, invite your friends, too. Check out the #Acer #WindowsMixedReality Headset.",2017-12-06T21:32:35.000Z
na,993,image,20,https://www.instagram.com/p/Bcd6xfxl59a/?taken-by=acer,"Whatever your mood (or your activity), there’s a mode for it on the #Spin7. #WorkFromHome",2017-12-09T04:06:50.000Z
na,377,image,3,https://www.instagram.com/p/Bck8cQ4FJuT/?taken-by=acer,"Have a traveler on your gift list? We’ve got ideas for you. 🎁
 #GiftIdeas #Swift7 #AcerProjector #IconiaTab10",2017-12-11T21:36:05.000Z
na,930,image,14,https://www.instagram.com/p/Bcsw61Ll65w/?taken-by=acer,"With the curved 34” XR monitor, you’ll forget you’re sitting in your living room. #MovieNight",2017-12-14T22:29:20.000Z
na,504,image,7,https://www.instagram.com/p/Bc5zmw8l5KG/?taken-by=acer,"Test preparation never looked so good, with tech to get any student ready to study in style.  #Studygram #ChromebookR13 #Aspire7 #Holo360",2017-12-20T00:02:56.000Z
na,509,image,5,https://www.instagram.com/p/Bc_mR_Glat9/?taken-by=acer,Forget about limiting your carry-on—the new #Swift5 weighs in at under 1 kg. #TravelMore,2017-12-22T06:01:56.000Z
na,1063,image,16,https://www.instagram.com/p/BdDVYuSlHAo/?taken-by=acer,Make sure your favorite gamers get what they want this year. Shop our top picks. #HolidayGiftGuide #Nitro5 #XRMonitor,2017-12-23T16:51:16.000Z
2331,339,video,7,https://www.instagram.com/p/BZ4XNhNFi8M/?taken-by=acer,"Having a convertible 2-in-1 #Switch7 isn't only practical, it also looks cool when you go from laptop to tablet.",2017-10-05T21:01:23.000Z
3502,605,video,15,https://www.instagram.com/p/BaAFv02lcov/?taken-by=acer,Try gaming in Tent Mode with the #Nitro5Spin—a convertible machine with an 8th Gen Intel® Core™ processor.,2017-10-08T21:02:43.000Z
na,453,image,1,https://www.instagram.com/p/BaHz9zsFBAM/?taken-by=acer,#DogsOfInstagram Use your phone to treat your four-legged friends with #Pawbo Munch.,2017-10-11T21:01:16.000Z
2754,358,video,0,https://www.instagram.com/p/BaKZhmJFSTN/?taken-by=acer,"Easily upload, share, and view 360-degree videos with the 3-inch touchscreen on the #Holo360.",2017-10-12T21:07:56.000Z
na,643,image,4,https://www.instagram.com/p/BacmK7dlVHU/?taken-by=acer,More than just good looks: the beautiful #AspireS24 charges your Qi enabled mobile device wirelessly while you work. #FullyCharged #Workspace,2017-10-19T22:44:46.000Z
2803,478,video,4,https://www.instagram.com/p/BakrUU2lkfR/?taken-by=acer,"Front-facing speakers with Dolby Audio™ Premium adjust the channel output automatically when you flip the display. Superior sound, no matter how you look at it. That’s the cleverly designed #Spin5.",2017-10-23T02:03:40.000Z
1384,291,video,1,https://www.instagram.com/p/Basth0-FhcH/?taken-by=acer,Discover a new reality. @Windows #MixedReality,2017-10-26T04:56:55.000Z
na,443,image,0,https://www.instagram.com/p/Ba2go3RljXi/?taken-by=acer,Escape the everyday in 10 minutes or less with @Windows #MixedReality. Works right out of the box—no extra hardware setup required.,2017-10-30T00:16:41.000Z
3488,559,video,7,https://www.instagram.com/p/Ba5b40FFait/?taken-by=acer,"We eliminated the fan and replaced it with the ultra-quiet, ultra-cool dual #LiquidLoop. Look for it in the upcoming #Switch7.",2017-10-31T03:32:53.000Z
na,930,image,5,https://www.instagram.com/p/BbA5HtpFdkm/?taken-by=acer,"Sit back and let the ultra-thin #Swift7 do the bulk of the work for you. 
#WorkfromHome #WFH",2017-11-03T01:03:01.000Z
na,382,image,6,https://www.instagram.com/p/BbIyCpKFsDr/?taken-by=acer,"Sakura Pink, Aqua Green, Bijou Blue. Learn how we brought our #colorstory to life, and tell us what colors you want to see in 2018!

#ColorTrends",2017-11-06T02:35:05.000Z
na,925,image,14,https://www.instagram.com/p/BbaUlkYlBCl/?taken-by=acer,Make games and movies look epic with plenty of curved screen real estate and HDR Ready™ technology on selected XR Series monitors.,2017-11-12T22:04:02.000Z
na,510,image,13,https://www.instagram.com/p/BYrbIl-l6Zn/?taken-by=acer,"Say hello to the #Switch7 Black Edition, with a full-power 8th Gen @Intel® Core™ processor. #NextAtAcer #IFA2017",2017-09-05T23:54:09.000Z
na,244,image,4,https://www.instagram.com/p/BYx_HhhF1Qw/?taken-by=acer,"As more #AR, #VR, and #MR technology becomes the reality, are you ready?",2017-09-08T13:04:01.000Z
na,438,image,2,https://www.instagram.com/p/BY87Au-Fbsl/?taken-by=acer,"At under 1kg, the ultra-thin #Swift5 makes the perfect travel companion.",2017-09-12T18:59:47.000Z
na,407,image,7,https://www.instagram.com/p/BZANUEoFEXa/?taken-by=acer,#Acer is proud to be a part of the creative process 🎵| 📸: @jnbehrens. Use #Acer for a chance to be featured.,2017-09-14T01:37:26.000Z
na,291,image,1,https://www.instagram.com/p/BZEEGkMlUuA/?taken-by=acer,Create exhilarating new experiences with the Acer @Windows #MixedReality headset.,2017-09-15T13:33:55.000Z
3253,337,video,2,https://www.instagram.com/p/BZK29itFq9f/?taken-by=acer,"Meet the #minimalist’s dream desktop. The #AspireS24 is Acer’s thinnest all-in-one desktop, complete with an 8th Gen @Intel® Core processor and wireless grab-and-go charging.",2017-09-18T04:53:46.000Z
na,336,image,2,https://www.instagram.com/p/BZPtu0bFTdb/?taken-by=acer,"School is back in session. To celebrate, we picked out some of our favorite #Acer #studyspo pics to inspire your desk space. [📸: @crushonbrain @kukuwaja @jaredhjyu]",2017-09-20T02:09:19.000Z
na,672,image,11,https://www.instagram.com/p/BZWI6kHFAy1/?taken-by=acer,"The #Spin5 is the perfect business partner. With a 360° hinge, you can choose the best way to create and share work.",2017-09-22T14:02:17.000Z
2325,341,video,4,https://www.instagram.com/p/BZiBawYlOwh/?taken-by=acer,"Quieter and more energy efficient, #LiquidLoop gives you a fan-less design imitating the human circulatory system. #Techonology #NextAtAcer",2017-09-27T04:47:40.000Z
na,494,image,5,https://www.instagram.com/p/BZoUv-JF9cU/?taken-by=acer,#AspireS: the world’s thinnest all-in-one desktop.,2017-09-29T15:32:02.000Z
na,351,image,4,https://www.instagram.com/p/BZzPPQmFDgE/?taken-by=acer,"The wait is finally over! Get your hands on one of our @Windows #MixedReality Headsets, and immerse yourself in new dimensions. Pre-orders start today.",2017-10-03T21:15:31.000Z
na,326,image,4,https://www.instagram.com/p/BZ1ysw3h2CM/?taken-by=acer,Hotel room views in #Chicago. 📸: @tidelbo. Share how you travel with #Acer.,2017-10-04T21:03:52.000Z
na,303,image,2,https://www.instagram.com/p/BX6MTIKlCNe/?taken-by=acer,"Bending, turning, and converting from laptop to tablet. #Spin7",2017-08-17T21:01:44.000Z
na,176,image,3,https://www.instagram.com/p/BX_NxctFiZi/?taken-by=acer,"#SUTaipei2017 has officially kicked off! We’re proud to sponsor the 29th Summer Universiade in #Taipei, let the games begin 🏆",2017-08-19T19:50:49.000Z
na,368,image,10,https://www.instagram.com/p/BYD78GmlYic/?taken-by=acer,"Transform your gaming experience with the convertible #Acer Nitro 5 Spin, featuring 8th Gen @Intel® Core™ Processors.",2017-08-21T15:51:11.000Z
na,162,image,0,https://www.instagram.com/p/BYH_-4nlA_U/?taken-by=acer,"Trying to keep our cool, but we can’t wait to reveal our latest innovations in cooling tech. #NextAtAcer #IFA2017 ❄️ [Link in profile]",2017-08-23T05:43:29.000Z
635,177,video,0,https://www.instagram.com/p/BYL9CKEl5Rh/?taken-by=acer,Ramping up to reveal what’s #NextAtAcer. Check back in for a first look at our latest innovations. #IFA2017 ❄️ [Link in profile],2017-08-24T18:34:40.000Z
na,185,image,1,https://www.instagram.com/p/BYMtxkplm4J/?taken-by=acer,Ramping up to reveal what’s #NextAtAcer. Check back in for a first look at our latest innovations ❄️ [Link in profile],2017-08-25T01:40:34.000Z
890,168,video,0,https://www.instagram.com/p/BYTLfd7lcQH/?taken-by=acer,Just three days away from announcing some hot news about cooling tech. #NextAtAcer #IFA2017 ❄️ [Link in profile],2017-08-27T13:55:41.000Z
781,172,video,1,https://www.instagram.com/p/BYaXv2qFAvk/?taken-by=acer,We can’t wait to share what’s #NextAtAcer during our 2017 global press conference. #IFA2017 ❄️ [Link in profile],2017-08-30T08:57:28.000Z
na,537,image,14,https://www.instagram.com/p/BYafmXCFj89/?taken-by=acer,"Meet our new lineup of devices 👉: the #PredatorX35, #Orion9000, #Galea500, #Switch7 Black Edition, #Swift5, #Spin5, #AspireS24, #Pawbo, and #Holo360. Click the link in our profile to learn more. #NextAtAcer #IFA2017 #PredatorGaming",2017-08-30T10:06:05.000Z
na,238,image,1,https://www.instagram.com/p/BYfpLK5lv8_/?taken-by=acer,Excited to show off our latest tech at #IFA2017. Find us in Hall 12.107 #NextAtAcer,2017-09-01T10:05:57.000Z
na,337,image,0,https://www.instagram.com/p/BYoLxn4lb78/?taken-by=acer,Experiencing the future of Acer and technology at #IFA2017. #NextAtAcer,2017-09-04T17:42:13.000Z
na,246,image,1,https://www.instagram.com/p/BYpHAvwFh6G/?taken-by=acer,"At the #NextAtAcer event, Acer CEO Jason Chen shared how we continue with our mission to bridge the gap between people and technology with over 14 product releases and updates.",2017-09-05T02:19:50.000Z
na,381,image,2,https://www.instagram.com/p/BWv81gkFr5j/?taken-by=acer,"Looking for a study buddy? Look no further. 
Use #Acer to be featured on our channel 📷 @missporlan",2017-07-20T01:02:49.000Z
na,160,image,1,https://www.instagram.com/p/BW6P_K9l2Lw/?taken-by=acer,"Track your health, stay informed, show your style with #LeapWare.",2017-07-24T01:02:34.000Z
na,405,image,9,https://www.instagram.com/p/BW_ZcEJl8gW/?taken-by=acer,Find your way in the dark. #Nitro5,2017-07-26T01:01:21.000Z
1072,194,video,0,https://www.instagram.com/p/BXEjG5Ml5HR/?taken-by=acer,"Now you see it, now you don’t The thin all-in-one #AspireC22.",2017-07-28T01:02:03.000Z
na,320,image,3,https://www.instagram.com/p/BXN1GDgFI0T/?taken-by=acer,"Day or night, the #Swift3 has a mode for every moment.",2017-07-31T15:32:23.000Z
na,452,image,11,https://www.instagram.com/p/BXRjEaTls8u/?taken-by=acer,Keep cool while your gameplay heats up. #Nitro5,2017-08-02T02:11:50.000Z
na,214,image,5,https://www.instagram.com/p/BXWOmG6Fsp1/?taken-by=acer,"From work to the weekend, the #Swift3 is always ready to go. To be featured, tag us and use #Acer. 📷: @wilsonsuen",2017-08-03T21:49:08.000Z
na,315,image,8,https://www.instagram.com/p/BXgqnyqFUJ0/?taken-by=acer,Built to fuel your creativity. #Aspire3,2017-08-07T23:06:26.000Z
