views,likes,media,comments,url,caption
19.4k,na,video,20,https://www.instagram.com/p/Bc5sLsnljCS/?taken-by=hp,"This holiday season, treat your family to something beautifully personalized with the help of our HP ENVY Photo printer. #ReinventMemories"
36.2k,na,video,83,https://www.instagram.com/p/Bc8DOWGFSER/?taken-by=hp,@meredithfoster creates special holiday moments with Piper 🐶 using her HP Sprocket. 🐾 🎁
26.6k,na,video,61,https://www.instagram.com/p/Ba4MzvdAFNB/?taken-by=hp,"Bigger than a 🕷️ but smaller than a 🦇, the pocket-size HP Sprocket can catch every great #Halloween moment with custom, instant prints."
na,"7,140",image,82,https://www.instagram.com/p/Ba9_YpVnZ23/?taken-by=hp,Reimagine what a laptop can deliver with liberating battery life and cutting edge performance. / HP Spectre x360
14.2k,na,video,19,https://www.instagram.com/p/BbKUx-UFnUi/?taken-by=hp,Create more wonder in your world with the HP Spectre x360. #ReinventGiving
63.8k,na,video,145,https://www.instagram.com/p/BbNOMIUlaul/?taken-by=hp,We can always count on Mom! Give an HP Sprocket this holiday season and go for the big hug. 🤗
70.9k,na,video,82,https://www.instagram.com/p/BbSsw4kFiu_/?taken-by=hp,"Color your world with the HP Sprocket printer and the brilliant, colorful stories it will tell!"
19.6k,na,video,28,https://www.instagram.com/p/BbUoYU3F1ZA/?taken-by=hp,Excited for our next big mission with @nasa 🚀
na,"9,398",image,381,https://www.instagram.com/p/Bbfkz40FBwH/?taken-by=hp,Give an HP Sprocket this holiday season and turn favorite moments into memories!
na,"3,218",image,17,https://www.instagram.com/p/BbkufbZloTU/?taken-by=hp,Transform your visions to reality with 3D Inking. / HP Spectre x360 #ReinventGiving
51.1k,na,video,33,https://www.instagram.com/p/BbnS_cCF5op/?taken-by=hp,Check out how @brooklynandbailey spiced up senior week by printing photos of their favorite memories with their HP Sprocket. 🏫
134k,na,video,333,https://www.instagram.com/p/BbvBRJJl-xa/?taken-by=hp,The @merrelltwins use the HP Sprocket for daily surprises. Where would you stick photo prints to surprise your friends? ☕💖🎸
83.2k,na,video,286,https://www.instagram.com/p/Bb0KXnXFZTD/?taken-by=hp,@missremiashten adds a personal touch with the HP Sprocket. It’s the perfect accessory to make memories last a lifetime! 💌
83.4k,na,video,259,https://www.instagram.com/p/BcDnmx6gXLW/?taken-by=hp,"With the portable HP Sprocket printer, @alisha creates memorable gifts for her friends. ❄🎁"
17.1k,na,video,20,https://www.instagram.com/p/BZW_lnVg3yv/?taken-by=hp,Print family classics for generations to enjoy with the new ENVY Photo printer. #cookbook #ReinventMemories
42.5k,na,video,44,https://www.instagram.com/p/BZhSxZeAljs/?taken-by=hp,Check out the set of @clubmickeymouse with all those colorful HP Sprocket pics!
na,"2,221",image,49,https://www.instagram.com/p/BZj3zqIADcL/?taken-by=hp,"Breathtakingly beautiful, unbelievably powerful. The HP Spectre x360."
"8,238",na,video,19,https://www.instagram.com/p/BZ4eJMng2B9/?taken-by=hp,Travel photographer Rosin Hem (@rosin_hem) used an unexpected opportunity to transform her passion into a profession. What will you reinvent?
na,"2,330",image,7,https://www.instagram.com/p/BaH6tUFHC5u/?taken-by=hp,"Rosin's (@rosin_hem) career transition from fashion to photography was made possible by technology that enables her mobility and creativity. Using her laptop and camera, she’s able to bring her creative vision to life in every moment she captures."
na,"4,824",image,63,https://www.instagram.com/p/BaJtuHmAL4T/?taken-by=hp,HP Sprocket 2-in-1 is always the life of the party. Capture moments with the camera or flip to print.
na,"1,636",image,18,https://www.instagram.com/p/BaKtmmVgV28/?taken-by=hp,"From debuting HP Sprocket 2-in-1 to printing a stunning backdrop of @voguemagazine’s most iconic moments, we were able to #ReinventMemories at #ForcesofFashion."
25.7k,na,video,31,https://www.instagram.com/p/BaUym32Aqow/?taken-by=hp,"Technology allows Rosin (@rosin_hem) to share her inspiration with the world. From capturing to color correcting, the HP Spectre x2 can empower you to bring your imagination to life."
12k,na,video,19,https://www.instagram.com/p/BachDHlgFA-/?taken-by=hp,"For Rosin (@rosin_hem), photography is an adventure that enables her to explore, connect and experience. With technology that allows her to travel oﬀ the beaten path, she’s able to shoot dynamic photos that evoke the feeling of discovery."
na,"3,297",image,27,https://www.instagram.com/p/Bam0T0CAiD2/?taken-by=hp,Innovation meets imagination with the HP Spectre x360 and a digital pen.
38.6k,na,video,44,https://www.instagram.com/p/Bar9rgEgFLC/?taken-by=hp,See the magic ✨ with HP Sprocket app’s new Relive Memories feature.
"7,694",na,video,6,https://www.instagram.com/p/BauiyLygLr2/?taken-by=hp,"Rosin’s (@rosin_hem) photos are inspired by the beauty she ﬁnds in every corner of the world. Through her pictures, Rosin aims to take us back with her to each unique moment she captures."
na,"2,269",image,11,https://www.instagram.com/p/BX3uPIUH0qc/?taken-by=hp,Color your world with the HP Spectre x360.
na,"4,664",image,26,https://www.instagram.com/p/BX832qRg43A/?taken-by=hp,"""Love taking the HP Sprocket on all of our adventures and printing off our photos. We spent the night watching the moon set, the stars come out and then the sun slowly rise to reveal this view."" - @mitch.cox"
10.4k,na,video,16,https://www.instagram.com/p/BYJvvsxAvrJ/?taken-by=hp,Learn how DIY expert @honestlyyum uses the HP Smart App to easily print photos from her phone for her inspiration board.
na,"5,352",image,24,https://www.instagram.com/p/BYO5Z1JgfVB/?taken-by=hp,"Enjoy the view for a lifetime with instant photos from your HP Sprocket. 🌄
Photo by @cleocohen"
21.9k,na,video,23,https://www.instagram.com/p/BYbxTilArHq/?taken-by=hp,@honestlyyum makes #birthday party 🎉 invites from social media photos with the HP Smart App & wireless print. 🎈#DIY
na,"2,556",image,31,https://www.instagram.com/p/BYg6-4IAKCT/?taken-by=hp,"Plan it, print it, live it. 🌺 Make #planning and journaling a breeze with instant photos from your HP Sprocket."
na,"4,137",image,196,https://www.instagram.com/p/BYtzF19AvcJ/?taken-by=hp,Journaling your #summervacation with HP Sprocket makes memories last a lifetime ❤ #reinventmemories
11.6k,na,video,19,https://www.instagram.com/p/BYvuhdiAax-/?taken-by=hp,Create a space that's totally you. 🕶 👜 Get inspired with our sleek and colorful DeskJet 3755.
17.8k,na,video,32,https://www.instagram.com/p/BY_f_b8A_uK/?taken-by=hp,"From their first step to their first 🚴 ride, our seamless HP Smart App and new ENVY Photo printer let you print every stunning moment. ❤ #ReinventMemories"
11.9k,na,video,18,https://www.instagram.com/p/BZMslZcAufG/?taken-by=hp,Take it from the @clubmickeymouse crew: the HP Sprocket is a doodler’s dream come true ✏️ + 📷 = ✨
14.1k,na,video,12,https://www.instagram.com/p/BZRhZhFgx7G/?taken-by=hp,@clubmickeymouse makes memories last with HP Sprocket ✨
na,"2,060",image,28,https://www.instagram.com/p/BZR2BF4AEaV/?taken-by=hp,"“You want to do something that satisﬁes your soul, you don’t have that much time so do what you love.” Rosin's (@rosin_hem) reinvention story arose from a challenge turned opportunity. After buying a one-way ticket around the world, she decided to combine her passion for travel and photography into a career that would change her life forever. Her use of technology has allowed her to work from anywhere in the world and capture each unique moment in her journey. By connecting with each city and the people within it, Rosin’s photography celebrates the beauty she sees in every new destination."
10.5k,na,video,21,https://www.instagram.com/p/BXHGbDTAljR/?taken-by=hp,"What if you could travel through color? Powered by HP and @intel, art group @futurewifellc's Boolean Planet installation lets you do just that in The Lab at @panoramanyc. #PanoramaHP"
na,"2,768",image,15,https://www.instagram.com/p/BXJDTxRgytU/?taken-by=hp,What if you could paint with lasers? Doodle on walls with light using the HP Spectre x360 with Windows Ink at @panoramanyc. #PanoramaHP
na,"2,082",image,7,https://www.instagram.com/p/BXJXZT7gJmC/?taken-by=hp,What if sound could have a scent? Defy your expectations of what a symphony can be with artist Emilie Baltz’s Dream Machine in The Lab. #PanoramaHP
na,"3,162",image,20,https://www.instagram.com/p/BXLhHPZAgD0/?taken-by=hp,"We visited far away universes in The Ark, explored the edges of art and technology in The Lab and made a Future Portrait of the internet with artist group PRISM at @panoramanyc. Let’s see where HP technology and creativity take us next. #PanoramaHP"
27.1k,na,video,39,https://www.instagram.com/p/BXRGQFTg-hV/?taken-by=hp,"Back to 🏫 🍎 goals: style, the right school supplies & the HP Sprocket. Get yours before classes start."
"9,375",na,video,14,https://www.instagram.com/p/BXTrQ-3gqoF/?taken-by=hp,"Redefine group work. Write, draw, capture and share ideas with apps like Microsoft OneNote and PowerPoint. / Spectre x360"
17.7k,na,video,36,https://www.instagram.com/p/BXWQAIbAIvk/?taken-by=hp,@missremiashten created a DIY memory box featuring moments from her tropical vacations. #ReinventMemories
20.4k,na,video,24,https://www.instagram.com/p/BXgjCjEgoux/?taken-by=hp,School can be your happy place as long as you deck out your dorm room with colorful HP Sprocket prints. 😊 Pick one up now.
na,"4,142",image,28,https://www.instagram.com/p/BXjH4hrgk9q/?taken-by=hp,Function or style? We say both. Head back to school with the bold and powerful DeskJet 3755. 😎
na,"1,953",image,15,https://www.instagram.com/p/BXlsnwAA2-b/?taken-by=hp,Ink as limitless as your imagination. / Spectre x360
15k,na,video,35,https://www.instagram.com/p/BXq2O3YgoVd/?taken-by=hp,"Take the pocket-sized HP Sprocket wherever you go and print vivid, 2x3 inch photos on the spot. Buy yours now."
41.5k,na,video,38,https://www.instagram.com/p/BX1JYp3gKaG/?taken-by=hp,"The DeskJet 3755 printer is neat, petite and ready for your college feat. 📚 💪"
na,"4,015",image,26,https://www.instagram.com/p/BWOJp_6gbxN/?taken-by=hp,"Relive your favorite summer sunsets 🌇 with photos from your HP Sprocket! 
Photo by @adislittlecity"
na,"2,695",image,49,https://www.instagram.com/p/BWbBksAAw0Y/?taken-by=hp,Share all the twists and turns of your summer adventures with the HP Sprocket. 🗺
17.6k,na,video,53,https://www.instagram.com/p/BWdmdrBg82O/?taken-by=hp,"From first drafts to final exhibits. Sketch, doodle and take notes using a virtual ruler and variety of pen types. / Spectre x360"
na,"4,516",image,33,https://www.instagram.com/p/BWgLQgXAEPf/?taken-by=hp,@valeriaslittlecity prints great memories in #Santorini with the HP Sprocket. 🇬🇷
na,"3,396",image,30,https://www.instagram.com/p/BWvn9NEA_Ob/?taken-by=hp,Never keep brilliant moments in the dark. Take the HP Sprocket everywhere for customizable prints from your phone. 🎆
10k,na,video,15,https://www.instagram.com/p/BWyM6KpAWKg/?taken-by=hp,"Planning your next adventure? Draw your route with Windows Maps to see distance, travel time and directions. / Spectre x360"
na,"3,812",image,29,https://www.instagram.com/p/BW0yZX0AryM/?taken-by=hp,"The HP Sprocket is a tiny printer that brings giant fun on the go! 🌏🐘
Photo by @valeriaslittlecity"
57.2k,na,video,218,https://www.instagram.com/p/BW8gIzSAU5k/?taken-by=hp,"Hands down, the HP Sprocket is a best bet for summer fun. Prints right from your phone anytime, anywhere. 👌🏼"
"7,531",na,video,8,https://www.instagram.com/p/BW_GAGJA1HJ/?taken-by=hp,What if a room could contain a universe? Let HP technology take you on a sensory adventure beyond the limits of your imagination in The Ark at @panoramanyc. #PanoramaHP
na,"4,605",image,36,https://www.instagram.com/p/BXBpnCagNoq/?taken-by=hp,Food is @itsdougthepug's best friend...so he takes Sprocket prints of his favorite photos with him everywhere he goes. 🐶🍕
13.3k,na,video,28,https://www.instagram.com/p/BXEOR9hADw5/?taken-by=hp,Make it personal. Use Microsoft Photos to draw and write on your pictures and videos. / Spectre x360
"6,831",na,video,7,https://www.instagram.com/p/BXGB7QDAJMM/?taken-by=hp,"Powered by HP and @intel, The Lab brings six visionary art experiences to @panoramanyc that take you beyond the limits of imagination. #PanoramaHP"
"7,637",na,video,6,https://www.instagram.com/p/BUxIk10D9p3/?taken-by=hp,"HP is proud to be the exclusive tech partner at the @festivaldecannes, creating lasting memories for people all over the world. #Cannes2017"
18.1k,na,video,35,https://www.instagram.com/p/BU2msfqjyqL/?taken-by=hp,Share selfies with your friends 😜 on grad day 🎓 with HP Sprocket 2x3” stickable prints from your phone.
na,"1,726",image,6,https://www.instagram.com/p/BVDeqlYDnDs/?taken-by=hp,"“I kind of jumped oﬀ a cliﬀ, and just said, ‘I’m going to shift all of my focus from creating work for other people to creating work for myself.’” -POSE (@tenderj)
Since 1992, POSE has been involved in art of one kind or another. What started as a pastime and a way to express himself, developed into a trade, creating signs for business around the city in 2008. He chose to give it all up, to start creating his own ideas. Finding inspiration in street art, his former life as a sign painter and the world around him, POSE creates incredibly vibrant work, completely unique to himself, with no shortage of admires."
na,"8,300",image,178,https://www.instagram.com/p/BVGDX3UD4cT/?taken-by=hp,Print photos on the go from your smartphone with the all-new RED HP Sprocket! ❤
na,"3,622",image,24,https://www.instagram.com/p/BVS5_BvjvN8/?taken-by=hp,@designlovefest captures her #summer memories with the all-new red HP Sprocket! 🌞
14.8k,na,video,8,https://www.instagram.com/p/BVVgatXA2eh/?taken-by=hp,"“Look towards the process, the learning, and enjoy every second of those diﬀicult phases…because that’s where you’re going to strike gold creatively.” -POSE (@tenderj)"
na,"3,203",image,15,https://www.instagram.com/p/BVasYSQgJqG/?taken-by=hp,"On #FathersDay, serve up great memories 🤗 with colorful, stickable HP Sprocket prints. 💗"
16.4k,na,video,40,https://www.instagram.com/p/BVk9PJ6gpFa/?taken-by=hp,Take your DIY project to the next level with prints from the HP Sprocket! @laurdiy added hers to her #summer planner. ☀
na,"1,867",image,16,https://www.instagram.com/p/BVqGnFrg2sk/?taken-by=hp,"Over the course of his career, POSE (@tenderj) has continued to evolve and challenge himself. From his roots in graffiti, to becoming a sign painter, and then to studio works. He continues to redefine himself and the art he creates. In this way he has adopted technology and has leveraged it to create the next chapter of his art, enabling him to express himself in new and even more innovative ways."
23.3k,na,video,40,https://www.instagram.com/p/BVsrQd6A_-M/?taken-by=hp,"Celebrate love this Pride Month with the HP Sprocket and @tyleroakley. #Pride2017 🌈
hp.com/go/hpsprocket"
na,"4,015",image,42,https://www.instagram.com/p/BV2-hB5A2c3/?taken-by=hp,@laurdiy adds pops of color to her new apartment with photos from her HP Sprocket! 💕
12.8k,na,video,20,https://www.instagram.com/p/BV5jP7KAOs6/?taken-by=hp,“One of the things that I love is the ability to bring technology into the art-making process.” -POSE (@tenderj)
10.3k,na,video,6,https://www.instagram.com/p/BTZ58htD2Op/?taken-by=hp,Put the power of the world’s smallest All-in-One printer in one hand with the HP DeskJet 3755.
na,"6,527",image,49,https://www.instagram.com/p/BTceyHTA_Eo/?taken-by=hp,Beauty and power in one. / Spectre x360 #HPx360
na,"5,554",image,47,https://www.instagram.com/p/BTpCKOPjU0F/?taken-by=hp,"The new modern day essential, now with a stylus. / Spectre x360 #HPx360"
39.1k,na,video,70,https://www.instagram.com/p/BTrSZItjoL2/?taken-by=hp,"@tyleroakley shares an early #MothersDay at the #GoldenGateBridge with his mom, @nanajacquelyn printing selfies with HP Sprocket. Wish we were there 😉❤☀"
na,"2,556",image,14,https://www.instagram.com/p/BTr7jktjL11/?taken-by=hp,"For a tasty treat that won’t give you brain freeze, try the HP DeskJet 3755—the world’s smallest All-in-One printer. 😝😋"
na,"3,429",image,24,https://www.instagram.com/p/BT7YVfPDo11/?taken-by=hp,One pen. Endless possibilities. / Spectre x360 #HPx360
12.8k,na,video,28,https://www.instagram.com/p/BT_dO-qDshY/?taken-by=hp,With every child a mother is born. #HappyMothersDay 💐
